ISOLE COOK (THE),Dollaro neozelandese,NZD,554
ISOLE FALKLAND (THE) [MALVINAS],Sterlina delle Falkland,FKP,238
ISOLE FAROE (THE),Corona Danese,DKK,208
ISOLE MARIANA DEL NORD (THE),Dollaro Americano,USD,840
ISOLE MARSHALL (THE),Dollaro Americano,USD,840
Isole minori esterne degli Stati Uniti d'America (THE),Dollaro Americano,USD,840
ISOLE SALOMONE,Dollaro delle Isole Salomone,SBD,90
ISOLE TURKS E CAICOS,Dollaro Americano,USD,840
ISOLE VERGINI (INGLESE),Dollaro Americano,USD,840
ISOLE VERGINI (US),Dollaro Americano,USD,840
ISRAELE,Nuovo Shekel Israeliano,ILS,376
ITALIA,Euro,EUR,978
JERSEY,Sterlina britannica,GBP,826
KAZAKHSTAN,Tenge,KZT,398
KENYA,Scellino Keniota,KES,404
KIRGHIZISTAN,Som,KGS,417
KIRIBATI,Dollaro Australiano,AUD,36
KUWAIT,Dinaro Kuwaitiano,KWD,414
LAOS (THE),Kip,LAK,418
LESOTHO,Loti,LSL,426
LESOTHO,Rand,ZAR,710
LETTONIA,Euro,EUR,978
LIBANO,Libbra libanese,LBP,422
LIBERIA,Dollaro Liberiano,LRD,430
LIBIA,Dinaro Libico,LYD,434
LIECHTENSTEIN,Franco Svizzero,CHF,756
LITUANIA,Euro,EUR,978
LUSSEMBURGO,Euro,EUR,978
MACAO,Pataca,MOP,446
MACEDONIA (EX REPUBBLICA IUGOSLAVA DI),Denar,MKD,807
MADAGASCAR,Ariary Malgascio,MGA,969
MALAWI,Kwacha,MWK,454
MALAYSIA,Ringgit Malese,MYR,458
MALDIVE,Rufiyaa,MVR,462
MALI,CFA Franco BCEAO,XOF,952
MALTA,Euro,EUR,978
MAROCCO,Dirham Marocchino,MAD,504
MARTINICA,Euro,EUR,978
MAURITANIA,Ouguiya,MRO,478
MAURITIUS,Rupia delle Mauritius,MUR,480
MAYOTTE,Euro,EUR,978
MESSICO,Peso Messicano,MXN,484
MESSICO,Mexican Unidad de Inversion (UDI),MXV,979
MICRONESIA (STATI FEDERATI DI),Dollaro Americano,USD,840
MOLDOVA (REPUBBLICA DI),Leu Moldavo,MDL,498
MONACO,Euro,EUR,978
MONGOLIA,Tugrik,MNT,496
MONTENEGRO,Euro,EUR,978
MONTSERRAT,Dollaro caraibico orientale,XCD,951
MOZAMBICO,Metical Mozambicano,MZN,943
MYANMAR,Kyat,MMK,104
NAMIBIA,Dollaro Namibiano,NAD,516
NAMIBIA,Rand,ZAR,710
NAURU,Dollaro australiano,AUD,36
NEPAL,Rupia nepalese,NPR,524
NICARAGUA,Cordoba Oro,NIO,558
NIGER (THE),CFA Franco BCEAO,XOF,952
NIGERIA,Naira,NGN,566
NIUE,Dollaro neozelandese,NZD,554
NORVEGIA,Corona norvegese,NOK,578
NUOVA CALEDONIA,Franco CFP,XPF,953
NUOVA ZELANDA,Dollaro neozelandese,NZD,554
OMAN,Rial Omani,OMR,512
PAESI BASSI (THE),Euro,EUR,978
PAKISTAN,Rupia pakistana,PKR,586
PALAU,Dollaro Americano,USD,840
PANAMA,Balboa,PAB,590
PANAMA,Dollaro Americano,USD,840
PAPUA NUOVA GUINEA,Kina,PGK,598
PARAGUAY,Guarani,PYG,600
PERÙ,Nuevo Sol,PEN,604
PITCAIRN,Dollaro neozelandese,NZD,554
POLINESIA FRANCESE,Franco CFP,XPF,953
POLONIA,Zloty,PLN,985
PORTOGALLO,Euro,EUR,978
PUERTO RICO,Dollaro Americano,USD,840
QATAR,Rial del Qatar,QAR,634
REGNO UNITO DI GRAN BRETAGNA E IRLANDA DEL NORD (THE),Sterlina Britannica,GBP,826
REPUBBLICA ARABA SIRIANA,Sterlina siriana,SYP,760
REPUBBLICA CECA (THE),Corona Ceca,CZK,203
REPUBBLICA CENTRAFRICANA (THE),CFA Franco BEAC,XAF,950
REPUBBLICA DOMINICANA (THE),Peso dominicano,DOP,214
RIUNIONE,Euro,EUR,978
ROMANIA,Leu rumeno,RON,946
RUANDA,Franco ruandese,RWF,646
SAHARA OCCIDENTALE,Dirham Marocchino,MAD,504
SAINT BARTHÉLEMY,Euro,EUR,978
SAINT KITTS E NEVIS,Dollaro caraibico orientale,XCD,951
SAINT MARTIN (PARTE FRANCESE),Euro,EUR,978
SAINT PIERRE E MIQUELON,Euro,EUR,978
SAINT VINCENT E I GRENADINES,Dollaro caraibico orientale,XCD,951
SAMOA,Tala,WST,882
SAMOA AMERICANE,Dollaro Americano,USD,840
SAN MARINO,Euro,EUR,978
SANTA LUCIA,Dollaro caraibico orientale,XCD,951
SANTA SEDE (THE),Euro,EUR,978
SAO TOME E PRINCIPE,Dobra,STD,678
SENEGAL,CFA Franco BCEAO,XOF,952
SERBIA,Dinaro serbo,RSD,941
SEYCHELLES,Rupia delle Seychelles,SCR,690
SIERRA LEONE,Leone,SLL,694
SINGAPORE,Dollaro di Singapore,SGD,702
SINT MAARTEN (PARTE OLANDESE),Fiorino delle Antille olandesi,ANG,532
"SISTEMA UNITARIO DI COMPENSAZIONE REGIONAL DE PAGOS ""SUCRE""",Sucre,XSU,994
SLOVACCHIA,Euro,EUR,978
SLOVENIA,Euro,EUR,978
SOMALIA,Scellino somalo,SOS,706
SPAGNA,Euro,EUR,978
SRI LANKA,Rupia dello Sri Lanka,LKR,144
STATI UNITI D'AMERICA (THE),Dollaro Americano,USD,840
STATI UNITI D'AMERICA (THE),Dollaro USA (Next day),USN,997
SUD AFRICA,Rand,ZAR,710
SUDAN (THE),Sterlina sudanese,SDG,938
SUDAN DEL SUD,Sterlina sud-sudanese,SSP,728
SURINAME,Dollaro del Suriname,SRD,968
SVALBARD E JAN MAYEN,Corona norvegese,NOK,578
SVEZIA,Corona svedese,SEK,752
SVIZZERA,WIR Euro,CHE,947
SVIZZERA,Franco Svizzero,CHF,756
SVIZZERA,WIR Franc,CHW,948
SWAZILAND,Lilangeni,SZL,748
TAGIKISTAN,Somoni,TJS,972
TAILANDIA,Baht,THB,764
TAIWAN (PROVINCIA CINESE),Nuovo dollaro di Taiwan,TWD,901
TANZANIA,Scellino tanzaniano,TZS,834
TERRITORI DEL SUD FRANCESE (THE),Euro,EUR,978
TERRITORIO DELL'OCEANO INDIANO BRITANNICO (THE),Dollaro Americano,USD,840
TIMOR EST,Dollaro Americano,USD,840
TOGO,CFA Franco BCEAO,XOF,952
TOKELAU,Dollaro neozelandese,NZD,554
TONGA,Pa'anga,TOP,776
TRINIDAD E TOBAGO,Dollaro di Trinidad e Tobago,TTD,780
TUNISIA,Dinaro tunisino,TND,788
TURCHIA,Lira turca,TRY,949
TURKMENISTAN,Manat turkmeno,TMT,934
TUVALU,Dollaro australiano,AUD,36
UCRAINA,Hryvnia,UAH,980
